fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note
0,top,2025-10-09,91.0,1,91.0,84.09,True,confirmed
1,bottom,2025-10-15,78.18,4,81.19,78.18,False,candidate
2,top,2025-10-16,82.31,5,82.31,79.96,False,candidate
3,bottom,2025-10-17,77.47,6,79.72,77.47,False,candidate
4,top,2025-10-22,81.66,8,81.66,78.3,False,candidate
5,bottom,2025-10-24,76.0,10,78.7,76.0,False,candidate
6,top,2025-10-27,79.73,11,79.73,77.32,False,candidate
7,bottom,2025-11-05,71.9,16,73.42,71.9,False,candidate
8,top,2025-11-06,74.75,17,74.75,73.25,False,candidate
9,bottom,2025-11-12,71.22,20,72.58,71.22,False,candidate
10,top,2025-11-13,72.74,21,72.74,71.45,False,candidate
11,bottom,2025-11-17,70.8,23,71.68,70.8,False,candidate
12,top,2025-11-18,71.85,24,71.85,70.82,False,candidate
13,bottom,2025-11-21,68.25,26,70.45,68.25,True,confirmed
14,top,2025-11-25,71.07,27,71.07,69.81,False,candidate
15,bottom,2025-11-26,69.41,28,70.85,69.41,False,candidate
16,top,2025-11-27,71.42,29,71.42,70.09,False,candidate
17,bottom,2025-11-28,69.9,30,70.88,69.9,False,candidate
18,top,2025-12-01,71.99,31,71.99,71.01,False,candidate
19,bottom,2025-12-03,70.07,32,71.6,70.07,False,candidate
20,top,2025-12-08,74.38,34,74.38,72.8,False,candidate
21,bottom,2025-12-09,72.31,35,74.0,72.31,False,candidate
22,top,2025-12-11,75.48,37,75.48,73.73,True,confirmed
23,bottom,2025-12-17,69.98,41,71.89,69.98,True,confirmed
24,top,2025-12-23,73.49,44,73.49,72.32,False,candidate
25,bottom,2025-12-24,71.73,45,72.65,71.73,False,candidate
26,top,2026-01-05,79.3,49,79.3,77.5,False,candidate
27,bottom,2026-01-08,77.26,51,78.98,77.26,False,candidate
28,top,2026-01-16,82.15,54,82.15,80.51,True,confirmed
29,bottom,2026-01-30,73.21,62,76.08,73.21,True,confirmed
30,top,2026-02-02,77.0,63,77.0,74.45,False,candidate
31,bottom,2026-02-03,74.22,64,75.68,74.22,False,candidate
32,top,2026-02-04,75.78,65,75.78,74.3,False,candidate
33,bottom,2026-02-06,73.39,67,75.28,73.39,False,candidate
34,top,2026-02-10,78.59,69,78.59,76.53,True,confirmed
35,bottom,2026-03-04,67.62,77,69.02,67.62,True,confirmed
36,top,2026-03-06,71.98,79,71.98,70.01,False,candidate
37,bottom,2026-03-09,69.96,80,71.37,69.96,False,candidate
38,top,2026-03-11,71.85,82,71.85,70.95,False,candidate
39,bottom,2026-03-12,69.8,83,71.3,69.8,False,candidate
40,top,2026-03-13,72.79,84,72.79,70.64,True,confirmed
41,bottom,2026-03-16,70.4,85,71.9,70.4,False,candidate
42,top,2026-03-17,72.48,86,72.48,70.82,False,candidate
43,bottom,2026-03-24,65.0,91,67.1,65.0,True,confirmed
44,top,2026-03-31,68.88,94,68.88,67.67,False,pre_bi_candidate
45,bottom,2026-04-07,64.55,96,66.25,64.55,False,candidate
46,top,2026-04-08,67.45,97,67.45,66.01,False,candidate
47,bottom,2026-04-09,65.87,98,66.88,65.87,False,candidate
